,0,1
0,r1,1.03e-03
1,r2,4.39e-04
2,k01_il1b,4.77e-03
3,k10a_il1b,7.66e-02
4,k10b_il1b,6.60e+00
5,k12_il1b,5.50e-04
6,k21_il1b,8.79e-03
7,alpha0_il1b,5.29e-05
8,alpha1_il1b,1.00e-06
9,alpha2_il1b,1.00e+00
10,gamma_il1b,5.27e-05
11,k10b_il1b_MG,6.80e-01
12,k01_il1b_U0126,2.22e-03
13,k01a_tnfa,1.17e-04
14,k01b_tnfa,2.09e-02
15,k10_tnfa,5.48e-02
16,k12_tnfa,9.41e-03
17,k21_tnfa,4.03e-03
18,alpha0_tnfa,2.60e-05
19,alpha1_tnfa,7.07e-01
20,alpha2_tnfa,5.41e-01
21,gamma_tnfa,2.16e-04
22,k01b_tnfa_MG,7.18e-03
23,k01a_tnfa_U0126,1.00e-04
